iteration,strategy,sharpe,return,drawdown
0,momentum,-0.5846732357952867,-0.0524705843941472,0.05794485611277811
1,momentum,1.1310782286823147,0.08947437853425355,0.0
2,momentum,-0.42554642228164274,-0.01587503006666313,0.01763837414590308
3,momentum,0.12011270032330904,0.011134645443239277,0.0383211405765127
4,momentum,0.006097647793925678,6.817912972700846e-05,0.017989294205783213
5,momentum,-0.29876458104900216,-0.024906837453286146,0.03003216009986276
6,momentum,0.3066229074201797,0.018656226737310044,0.0150478174255807
7,momentum,0.7875703426317872,0.024824209456938195,0.0036361822352586337
8,momentum,0.0006266717726016572,-0.0006292830020805384,0.035796214023367856
9,momentum,0.3709424202497837,0.028189713465396116,0.019063676673300334
10,momentum,0.08335407842775165,0.0015798169272200902,0.0069935325514536295
11,momentum,0.6678676786566355,0.01854413150902645,0.0024191349227746795
12,momentum,0.2529583272165794,0.015670850633667577,0.021628730176487365
13,momentum,-0.016765689361017896,-0.0004066948730565567,0.006397131659916511
14,momentum,0.29271542521097277,0.023192159363674136,0.02057879435018839
15,momentum,-0.5163526897306951,-0.01557481691884055,0.01557481691884055
16,momentum,-0.6451207787589177,-0.031132370206307214,0.031132370206307214
17,momentum,0.12282334429545128,0.0050530401991626395,0.01167256405902195
18,momentum,-0.015132258228871358,-0.001363468689737024,0.026642053714993508
19,momentum,0.7120404676315859,0.03236860021131904,0.005321940728905905
20,momentum,-0.5119202005163788,-0.019224473752345705,0.024753777668398147
21,momentum,-0.3185242054694712,-0.021770975815382565,0.031119516892106236
22,momentum,-0.46271432216125824,-0.009390476578424622,0.012723875072776392
23,momentum,0.3402431422349688,0.025207369702640925,0.021799593995123767
24,momentum,-0.21004942050112752,-0.01567983892660374,0.033703367893514025
25,momentum,0.3626370923508077,0.014672604488307872,0.013777841174213545
26,momentum,0.48416866921440116,0.02349005253610348,0.004245176517186033
27,momentum,0.18149341639136052,0.011317027796193146,0.025025503655526027
28,momentum,0.2206182907181101,0.014143707145078732,0.015957040555862223
29,momentum,-0.1608742711250697,-0.008717511768596475,0.020822540745820683
30,momentum,-0.08908599866174798,-0.003789367457421866,0.01446330948040686
31,momentum,-0.07065692495724946,-0.0038247896957774863,0.01245169622368325
32,momentum,-0.2980681984514625,-0.011131721588083843,0.019588501510002465
33,momentum,0.11722617634823254,0.009889344831409907,0.036170370233761684
34,momentum,-0.07534159758214486,-0.0058347932541708,0.02099450682880577
35,momentum,0.11674140606294535,0.005974819139977994,0.016686695706413346
36,momentum,0.5104050718198209,0.047496533432939136,0.02671741866087418
37,momentum,0.2876924152466451,0.016000295749982518,0.013598247525868912
38,momentum,0.9589025836914826,0.05932932854554318,0.0055481423881140746
39,momentum,0.3066229074201797,0.018656226737310044,0.0150478174255807
40,momentum,-0.04192068197281893,-0.003983381287181453,0.02896096099861134
41,momentum,-0.5613213883884879,-0.021824800833193714,0.021824800833193714
42,momentum,0.45661533216539774,0.040013395447823674,0.014953644421391799
43,momentum,0.16974616456983296,0.009675540497992019,0.029637907341374725
44,momentum,-0.038680279277038744,-0.0008198885564710823,0.007828812062560808
45,momentum,0.15900819090125112,0.007228776534581538,0.020629614948117547
46,momentum,0.5302087910131731,0.04947874383112394,0.012095818188681773
47,momentum,-0.29012139687808153,-0.02010022380408527,0.030159404195277628
48,momentum,0.17195105024948742,0.003112905022736312,0.00669551255543277
49,momentum,0.42978150230050405,0.02404640617255005,0.012546666001644446
50,momentum,-0.327152045900189,-0.027485931612799996,0.04386528778965082
51,momentum,-0.2834578797547127,-0.021516943974773217,0.041122365513469594
52,momentum,0.6068138122399783,0.05549565549602242,0.014953644421391799
53,momentum,0.3417818588423756,0.027171854331579537,0.024311368669494238
54,momentum,0.17606140701625525,0.006501944461482889,0.014300207748517924
55,momentum,-0.5824633230368229,-0.052868918440820756,0.052868918440820756
56,momentum,-0.5562242078360344,-0.04751932280694793,0.05720093105113422
57,momentum,0.35271153242743225,0.02425030941622852,0.03188494392327823
58,momentum,0.7276004277719297,0.052569138530597304,0.010296771737636212
59,momentum,-0.5194614833207687,-0.017192250203068693,0.017192250203068693
60,momentum,0.22265801456680245,0.011775316786995838,0.017813674883895625
61,momentum,0.6026326670888137,0.038287044981776486,0.009796744963227022
62,momentum,0.2230643031563493,0.014232866809853695,0.029802998157236082
63,momentum,-0.02279912038031306,-0.0018675732195754247,0.02207814282614995
64,momentum,0.1438580458445269,0.010573894273583573,0.015558715774815046
65,momentum,-0.6972565891836965,-0.014262741332220275,0.014262741332220275
66,momentum,0.4448162992434415,0.02735547898432844,0.013247507792030655
67,momentum,-0.813097215275143,-0.03917445107226569,0.045610105188804595
68,momentum,0.5782163727841132,0.01571999482948394,0.005981395846612947
69,momentum,0.21504187495287247,0.00731779973913671,0.008879262211673788
70,momentum,-0.032171873661225196,-0.002487715293229109,0.024461691612442493
71,momentum,0.044548425419993896,0.002245357792810543,0.017988130045624717
72,momentum,-0.5313774472121505,-0.03314445012337519,0.03862682692469399
73,momentum,0.2889945919833444,0.013645357564992189,0.012010437438924604
74,momentum,-0.46271432216125824,-0.009390476578424622,0.012723875072776392
75,momentum,0.19265480283929493,0.0052460109244723,0.005968987755070598
76,momentum,0.14298487393716752,0.0071413748610293926,0.016373201780014668
77,momentum,-0.5473809268238865,-0.024408274192401436,0.027659070385500417
78,momentum,-0.0454702324860408,-0.002169870885067926,0.016772303918564546
79,momentum,0.09265258976271337,0.006485477144997365,0.026825066752528604
80,momentum,0.06167283378622572,0.0008680974685448817,0.0069935325514534075
81,momentum,0.05648675313641169,0.0052782459706173235,0.027459403004533978
82,momentum,-0.5119202005163788,-0.019224473752345705,0.024753777668398147
83,momentum,-0.18946070801037154,-0.006965237030328142,0.025412169774204907
84,momentum,-0.2908315680326605,-0.003834608858998889,0.006721590757680529
85,momentum,-0.4749114844804197,-0.040033757185227836,0.040033757185227836
86,momentum,0.4163268855048457,0.026653325827941332,0.009999406548682144
87,momentum,-0.3433688268898539,-0.024311873836314724,0.052612917616959076
88,momentum,-0.6778225818287346,-0.06439506417096896,0.06439506417096896
89,momentum,0.31907705337661324,0.024323920138097144,0.02916730613231089
90,momentum,-0.10287822607291755,-0.0016935881874877712,0.008020571581959013
91,momentum,0.9771184710468879,0.05190849238209272,0.003447109691151029
92,momentum,-0.1608742711250697,-0.008717511768596475,0.020822540745820683
93,momentum,0.1181516102679289,0.008369787290502195,0.022878418315693927
94,momentum,-0.5732129851517752,-0.06357100809314609,0.07992901098239935
95,momentum,0.18761937526287345,0.018512947838436267,0.03346277168573408
96,momentum,-0.5301236160286161,-0.024547061915445645,0.03007818862740974
97,momentum,-0.12828074563288058,-0.0024078261541534696,0.007573053934306517
98,momentum,0.43286232517047746,0.015987442775183602,0.006393518693098121
99,momentum,0.08933969508868662,0.0031417907808641843,0.01329859198970218
